"phecode","ICD","flag"
"ID_005","A19.1",10
"ID_005","017.50",9
"ID_005","017.60",9
"ID_005","017.70",9
"ID_005","010.00",9
"ID_005","017.80",9
"ID_005","017.90",9
"ID_005","018.0",9
"ID_005","013.65",9
"ID_005","018.8",9
"ID_005","010.84",9
"ID_005","018.9",9
"ID_005","A31.2",10
"ID_005",647.31,9
"ID_005","014.02",9
"ID_005","011.03",9
"ID_005","011.70",9
"ID_005","A17.81",10
"ID_005","A18.13",10
"ID_005","017.16",9
"ID_005","O98.03",10
"ID_005","A30.1",10
"ID_005","015.12",9
"ID_005","011.20",9
"ID_005","015.22",9
"ID_005","015.52",9
"ID_005","015.62",9
"ID_005","011.40",9
"ID_005","015.72",9
"ID_005","015.82",9
"ID_005","015.92",9
"ID_005","016.01",9
"ID_005","016.11",9
"ID_005","016.21",9
"ID_005","016.31",9
"ID_005","011.80",9
"ID_005","016.41",9
"ID_005","016.51",9
"ID_005","016.61",9
"ID_005","012.0",9
"ID_005","012.23",9
"ID_005","012.30",9
"ID_005","012.34",9
"ID_005","017.06",9
"ID_005","A18.5",10
"ID_005","013.16",9
"ID_005","013.26",9
"ID_005","013.42",9
"ID_005","013.52",9
"ID_005","013.80",9
"ID_005","010.81",9
"ID_005","013.90",9
"ID_005","014.0",9
"ID_005","011.00",9
"ID_005","014.83",9
"ID_005","015.02",9
"ID_005",137.0,9
"ID_005","011.72",9
"ID_005","A15.5",10
"ID_005","A17.89",10
"ID_005","013.66",9
"ID_005",647.32,9
"ID_005","011.15",9
"ID_005","030.3",9
"ID_005","011.35",9
"ID_005","011.95",9
"ID_005","012.01",9
"ID_005","016.66",9
"ID_005","012.20",9
"ID_005","016.76",9
"ID_005","016.96",9
"ID_005","017.03",9
"ID_005","A18.14",10
"ID_005","017.2",9
"ID_005","A18.52",10
"ID_005","017.3",9
"ID_005","A18.8",10
"ID_005","017.4",9
"ID_005","A19.0",10
"ID_005","017.5",9
"ID_005","017.6",9
"ID_005","017.7",9
"ID_005","013.36",9
"ID_005","017.8",9
"ID_005","017.9",9
"ID_005","018",9
"ID_005","018.06",9
"ID_005","018.86",9
"ID_005","018.96",9
"ID_005","010.96",9
"ID_005","011.74",9
"ID_005","A15",10
"ID_005","A17.8",10
"ID_005","A18.12",10
"ID_005","A30.0",10
"ID_005","A31",10
"ID_005","015.11",9
"ID_005","015.21",9
"ID_005","015.51",9
"ID_005","011.32",9
"ID_005","015.61",9
"ID_005","015.71",9
"ID_005","015.81",9
"ID_005","015.91",9
"ID_005","016.00",9
"ID_005","016.10",9
"ID_005","016.20",9
"ID_005","016.30",9
"ID_005","016.40",9
"ID_005","016.50",9
"ID_005","011.92",9
"ID_005","016.60",9
"ID_005","012.03",9
"ID_005","012.15",9
"ID_005","017.00",9
"ID_005","012.85",9
"ID_005","P37.0",10
"ID_005","013.15",9
"ID_005","013.25",9
"ID_005","013.33",9
"ID_005","013.41",9
"ID_005","013.51",9
"ID_005","010.1",9
"ID_005","013.8",9
"ID_005","013.9",9
"ID_005","014",9
"ID_005",647.33,9
"ID_005","010.93",9
"ID_005","014.82",9
"ID_005","015.01",9
"ID_005","011.12",9
"ID_005.1","011.23",9
"ID_005.1","011.43",9
"ID_005.1","011.61",9
"ID_005.1","011.65",9
"ID_005.1","011.83",9
"ID_005.1","016.7",9
"ID_005.1","016.9",9
"ID_005.1","012.26",9
"ID_005.1","017",9
"ID_005.1","A18.15",10
"ID_005.1","A18.32",10
"ID_005.1","017.20",9
"ID_005.1","017.30",9
"ID_005.1","A18.81",10
"ID_005.1","017.40",9
"ID_005.1","A19.1",10
"ID_005.1","017.50",9
"ID_005.1","017.60",9
"ID_005.1","017.70",9
"ID_005.1","010.00",9
"ID_005.1","017.80",9
"ID_005.1","017.90",9
"ID_005.1","018.0",9
"ID_005.1","013.65",9
"ID_005.1","018.8",9
"ID_005.1","010.84",9
"ID_005.1","018.9",9
"ID_005.1",647.31,9
"ID_005.1","014.02",9
"ID_005.1","011.03",9
"ID_005.1","011.70",9
"ID_005.1","A17.81",10
"ID_005.1","A18.13",10
"ID_005.1","017.16",9
"ID_005.1","O98.03",10
"ID_005.1","015.12",9
"ID_005.1","011.20",9
"ID_005.1","015.22",9
"ID_005.1","015.52",9
"ID_005.1","015.62",9
"ID_005.1","011.40",9
"ID_005.1","015.72",9
"ID_005.1","015.82",9
"ID_005.1","015.92",9
"ID_005.1","016.01",9
"ID_005.1","016.11",9
"ID_005.1","016.21",9
"ID_005.1","016.31",9
"ID_005.1","011.80",9
"ID_005.1","016.41",9
"ID_005.1","016.51",9
"ID_005.1","016.61",9
"ID_005.1","012.0",9
"ID_005.1","012.23",9
"ID_005.1","012.30",9
"ID_005.1","012.34",9
"ID_005.1","017.06",9
"ID_005.1","A18.5",10
"ID_005.1","013.16",9
"ID_005.1","013.26",9
"ID_005.1","013.42",9
"ID_005.1","013.52",9
"ID_005.1","013.80",9
"ID_005.1","010.81",9
"ID_005.1","013.90",9
"ID_005.1","014.0",9
"ID_005.1","011.00",9
"ID_005.1","014.83",9
"ID_005.1","015.02",9
"ID_005.1",137.0,9
"ID_005.1","011.72",9
"ID_005.1","A15.5",10
"ID_005.1","A17.89",10
"ID_005.1","013.66",9
"ID_005.1",647.32,9
"ID_005.1","011.15",9
"ID_005.1","011.35",9
"ID_005.1","011.95",9
"ID_005.1","012.01",9
"ID_005.1","016.66",9
"ID_005.1","012.20",9
"ID_005.1","016.76",9
"ID_005.1","016.96",9
"ID_005.1","017.03",9
"ID_005.1","A18.14",10
"ID_005.1","017.2",9
"ID_005.1","A18.52",10
"ID_005.1","017.3",9
"ID_005.1","A18.8",10
"ID_005.1","017.4",9
"ID_005.1","A19.0",10
"ID_005.1","017.5",9
"ID_005.1","017.6",9
"ID_005.1","017.7",9
"ID_005.1","013.36",9
"ID_005.1","017.8",9
"ID_005.1","017.9",9
"ID_005.1","018",9
"ID_005.1","018.06",9
"ID_005.1","018.86",9
"ID_005.1","018.96",9
"ID_005.1","010.96",9
"ID_005.1","011.74",9
"ID_005.1","A15",10
"ID_005.1","A17.8",10
"ID_005.1","A18.12",10
